nouns,label
이어폰 음량 귀,7
독감 예방주사,2
목 음식물 계속 물감,7
케겔 운동,11
등 통증 문의,12
걷기 다이어트 방법,11
급체 증상,4
추가 체중 증가,22
자세,11
공수병 사후 음주,18
항생제 부작용,18
배 복통,4
김 대변 상태,4
오른쪽 엄지손가락 손톱 옆,20
항문 대변 피,1
추가 다이어트 운동,11
정신건강 의학 조현병,8
꼬리뼈 허리 통증 배 통증 허벅지 위 저림 증상,12
아버지 키 정상,11
티스 탁스 복 용법,17
피 검사 대장암,4
꼭 허리 디스크 상관관계,12
등산 조깅 건강 더 도움,11
질염 약 복용 생리통 약,25
대변 검사 대장암,4
변비 배 덩어리 기도,4
커피 유방 혹,25
녹농균 수,18
편도염 좀,7
치과 치료 독감 예방접종,14
녹농균,18
과음 시티,4
눈 통증,5
턱관절 소리,24
편도염 완치 좀,7
내과 해 흰색 수정 테이프 다량 알갱이 입,4
내과 흰색 수정 테이프 다량 알갱이 입,4
약 정도 열 정도,2
질 체력 도구 커녕 맨몸 운동 제대로 수,11
레이노 이드 증후군 손톱 하얀반달 위 보라색 검 은색,10
손톱 하얀반달 위 보라색 검 은색,10
케이 캡정 밥,4
가래 문의,2
질문 인슐린 말단비대증 장기 비대 또한 말 신지,22
후두 인두 근육 질문,7
당뇨 혈당 식 후두 시간,22
베타 미가 하루 약 복용 수면 위 내시경,4
흡연 숨쉬기 증상 숨,2
보스 웰 리아 무릎관절 도음 도움,20
형 당뇨병 수면 관계,22
거품 뇨 허리,26
자궁경부암 예방주사 남자,25
배 통증,4
코,7
소화,4
설사 대장 내시경,4
잠 뒤 몸 오한 발열,7
코 뒤쪽,7
독감 예방접종,2
혈당,22
레졸로정 달 유지 게,4
아보카도 캡슐 복용,24
아보카도 캡슐 복용 고안 압,5
당화혈색소 검사,22
시야 짐,5
변비,4
가래 무,2
역류성 식도염 운동,4
등 오른쪽 아래 불편,11
미열,18
청국장 방귀 가스,4
편도염 완치,7
컴퓨터 열,18
두통약 두통,6
후두 염,7
편도 삼 액 걱정 요,7
변 복통,4
어깨 목 통증,24
출산 개월 복통,4
편도 삼 액,25
형 간염 예방접종 질문,4
건강검진 신장 질환 단백뇨,28
한쪽 코 안이 피 딱지 생기 기도,7
역류성 후두 염 바이러스 후두 염 건가,7
설사 변비 반복 소화 증상,4
담배 기침,2
미열,18
양제,24
구토,4
주방 세제,4
발목 발바닥,20
기능 소화 불량 증,4
만성 형 간염 간경변증 완치,4
답변 코 콧물,7
건강 체력 식후 식전 분뒤 운동,11
증상 요 배꼽 오른쪽 증상 간의 김증,4
목안 물질 진료 과로 가야,7
비밀 차단 효과 마스크,7
편도 위,7
오른쪽 배,4
운동 빈혈 때 마다,9
건강 체력 유 산소 운동 산소 운동 중 먼저,11
건강 체력 분 운동 효과 여,11
약 때 목구멍 입구,7
편도 위 혹,7
더러 세균 핸드폰 걱정,18
오른쪽 갈비 등쪽 통증,13
우상 복부 통증 복부팽,4
거북목 수가,12
혓바늘,7
혓바늘,7
혀 오른쪽 부분 목 목구멍 갑자기,7
심장병 수도,23
세균 핸드폰 걱정,18
설사약 스멕타 복 용법,4
진통제 등 상담,13
공황장애 스트레스 배,4
형 간염 예방주사 항체 언제,4
걸 때 오른쪽 배 통증,4
공황장애 원래 스트레스 배,4
아르기닌 복용 제품 비교 부탁,24
타이레놀 복용,2
약 복용 상담 타이레놀 알 알 복용,2
타이레놀,7
타이레놀 알 방정 알,7
타이레놀 알 알 복용,2
당뇨 환자,22
트림 속,4
위염 어지러움,4
변비 설사 반복 증상 소화 증산,4
자궁경부암 검사 결과,25
형 간염 검사 해석,4
가슴 중앙 통증,23
역류성 후두 염 바이러스 후두 염 차이,7
수제 요거트,24
차단 및 기능 소화 불량 약제 문의,4
눈,6
트림 이유,4
밤 눈 때 눈,5
아침 바로 텅빈,4
변비 물관,4
배 임신 건가,25
혈액 검사,9
비 간염 환자 건강 식품 섭취,4
포부 틴정 식후 복용 해도,4
식도염 천식 혹시 천식 증상,2
장 위장 것,4
여자친구 관계 배앓이 입원 간 물이 촬영 결과,4
차도 부비동염,7
손발 저리 입 등 증상,24
당화혈색소 변화,22
마 밀 하루 알,4
당화혈색소 변화,22
독감 예방접종 부위,18
항생제 자기,18
대장암 초기,4
비 간염 보균자 건강 식품 문의,4
웰콘정 처방전 살 수 변비 약,4
항 암치료 중 발열,18
형 당뇨 형 당뇨,22
골 밀도 검사 사진 개 첨부,22
급성 신부전 수치 여기 선생님,28
피로 스트레스 건강 악화 건강악화,24
자궁 종 검사,25
비타민 효능 사실,24
골 밀도,22
왼쪽 배 불편,4
감기 감기 기운,2
소변 검사 때 비타민,26
종합 비타민 셀 복용 장기 복용,24
클로자핀 당뇨,22
자궁경부암 검사,25
자궁경부암 검사,25
장염 걸 자궁 종도,25
일전 부비동염 상담 적 코 목,7
추가 스트레스 단순 몸살,2
자궁 경부 검사,25
당뇨 검사 인슐린 검사,22
거대 세포 바이러스,27
트림 우측 쇄골 통증,4
당뇨 검사 인슐린 검사,22
위암,4
인슐린 검사,22
장염,4
배꼽 위 명치 통증,4
장염,4
똥 설사,4
약물 알러지 대처 방법,27
도파민 관여 물질,8
영양 섭취 부족,24
증 환자 두통 심해,28
혈압 대학병원 외래 대학병원 외래 종합병원,23
추가 가스 때,4
증상 복합 미열,2
과식,4
장염 달동 지속 기도,4
혈압 약 복용 커피 섭취,23
수치 고혈압 수치 고혈압증 상이,23
고혈압 떄 다뇨 노랜삭 소변 증상,28
히스 재,4
현재 복용 약 타이레놀,2
부비동염,7
당화혈색소,22
자율신경 실 조증 증상,8
저혈압 일,23
머리 띵,6
웰콘정,4
머리,6
한미 오메가 연질 캡슐,22
액 효능,4
옆구리 평소 변비,4
한미 오메가 연질 캡슐,22
비수 대장 내시경,4
위 대장 내시경 흡인 폐렴,2
코로 날 파리 흡입,7
수면 내시경 면 보호자,4
코 성형 부비동염,15
목 항상 물감 역 냄새,7
장염,4
누우 숨 어디 가야,2
역류성 식도염,4
병 굳이 병원 개월 설사,4
위 대장 내시경 복용 약,4
고혈압 환자 장뇌삼 여,24
위 대장 내시경,4
살 녹내장,5
원장 의사 고의 신경치료 도중 상악동 물질 삽입,7
이비인후과 축농증 부비동염 촬영,7
위 대장 내시경 방금 위 대장 내시경 사람,4
미주신경 실신 때 구토 감,6
역류성 식도염 가슴 통증,4
항히스타민제 항 우울 양제 복용,8
역류성 식도염 질문,4
스피루리나,24
다이어트 케톤 체 양성,22
편도 암 편도 종괴,7
가스 소화,4
발가락 수술 마음 안정,20
전 날 오싹 증상 병원,8
가스 틴 정,4
부비동염 저녁 진통제 못,7
캡슐 효능,4
웰콘정 바로 누우,4
독감 예방주사 피하 주사,2
쯤 혈변 이후 론 변 자체 빨간색,4
과민성 대장 지방 변,4
폐렴 예방접종,2
야생고양이 병원,18
내시경 검사 후두 염,7
후두 염 증상 위 내시경 검사 곳 검사,7
혈압 변경 얼마나,23
후두 염 위 내시경 검사 검사,7
바나나 배,27
알러지 점안액,5
기립 저혈압 빈혈,23
몸살,2
매독,18
양제,24
복약 상담 남편 혈압 약 텔미 누보 고지혈증 약 레토 복용,23
침 피,2
변비 약 중단,4
쇄골 아래 오른쪽 통증,13
결명자 권 장량,24
턱걸이 자투리 시간 효과,11
변비 식품,4
증상 보시 병명 단순 위 무력 증,4
베 카 입문,24
예전 영상 의학과 이빨 가요,14
성인 독감 감기,2
복통 설사,4
밥 최소 시간 누,4
두통 등,6
상의 게실 내시경,4
치과 실수 고의 잇몸 이빨 사이 물질 엑스레이,7
이틀 볼일 아예,4
식후 부글 똥마려운,4
목 물감 질감 질문,7
영상 의학과 이빨 가요,7
혈압,23
산책 중 숨 심장 방망이 그냥 산책 쭉 잠시 벤치,23
감사 싱귤레어 뮤코 제의 작용 원리 요,2
싱귤레 어정 장기 복용 간부 작용 사례,2
머리,23
호산구 수치 기생충 감염 안해,18
안쪽 어금니 치통,7
단순 위 무력 증,4
비수 대장 내시경 사제,4
부비동염 엑스레이 이비인후과 검사 치아 엑스레이,7
초기 감기 증상 약 음식,7
변 검사,4
식도염 때 요구르트 요거트,4
공복 혈당 수치,22
후두 염 약도 소용,7
편두통 거의 올해 간혹,6
신장 물혹 혈압,28
가슴 마구 공황장애,8
가래 기침,2
건강검진 산부인과 검사,25
가스 차고 트림,4
혈압 고혈압,23
물집 질문 사람,0
물집 고름 물집,0
주 몸,24
발 보라색,10
미열 근육통 증상 주간 중,10
질환 생활 식이요법 개선 방법,24
,23
설사,4
운동 근육 몸속 암세포 악성 세포 증거,11
카베 진 복용 소화 바,4
원리,23
감사 소화,4
복부 맥박,4
정말 목칼칼,7
내시경 경부 초음파 이유,25
숨 쉬기 정말,2
두통 어지러움 헛구역질,6
혈변 소변,4
소화 불량 후두 염증상,4
폐렴 균 백신,2
곤 지름 검사,25
노트북 사용 두통,6
리포 말글루 타치 온 정맥 투여 글루 타치 온 중 효과,0
미세 단백뇨,26
두통 연관,6
어지러움 증 목 아픔 연관,7
완전 항문 괄약근 치료,1
간 유리 음영 결절 염증 흔적 등,4
소화기 수치,4
여자친구 관계 통증,26
목 물감 목 원인 소화 불량 수도,7
왼쪽 머리,6
살 고혈압,23
위염 증상 여부,4
식이요법 부족,24
눈,6
피 검사 각종 항목 수치 암 유무 유추,9
역류성 질환 좀더 내용,4
밤 누우 증상,4
약 양제 간격,24
양제 복용 알 복용,24
관계 배 통증,25
음식,24
밥 소화,4
목 물감 용 각산 효능,24
,25
뒤통수 통증,6
병원 채혈 가정 혈당 차이,22
혈압 체크,23
관절,11
유산균 독성,4
증상 식도암 죽 지경,4
성기 기둥,26
식은땀 면서 손 심장,8
알러지 오메가,27
처음 비염 고생 중이 다가 증상,7
목 물감 목,7
서혜부 임파선,26
건강 기능 식품 차이점,24
자궁경부암 주사 친구,25
역류성 식도염,4
역류성 식도염 증상,4
유산균 제품,4
운동 땀 신장 부담 덜 가게,28
혈당 문의,22
몬테 츄정 복약,7
장 누수 증후군 락토핏골드 변비 지루 두피 염 도움,4
역류성 식도염 중상,4
친구 산부인과 자궁경부암 주사,25
편도 키스 성관계,7
어지럼증 답변,6
고혈압 약,23
감사 빈혈 원인,9
어지럼증,6
폐 결절,2
손발 저리 두통,6
사진 더러 움 주의 혈변,4
공복 혈당 전후,22
목 약간 피,2
과민성 대장 증후군,4
좀 목소리 편,7
인후 염 용 각산 효능,24
장염 약 빈속,4
소화 불량 고생,4
배 전체 통증,4
안정 심박수,23
식도 점막 절제 술,4
신생아 개월 예방접종 대학병원 방문,18
묘 기증 역류성 식도염,4
식후 혈당 수치,22
아침 바나나,24
설사,4
목 물감 과 식도염,4
스트레스 목,7
마그네슘 섭취 방법,4
접종 기간,25
