symptom,class
질문하겠습니다. 이어폰을 음량을 0으로 하고 끼고만 있어도 귀에 안 좋나요?,ENT
독감예방주사,IP
목에 음식물 그대로 끼어서 계속 이물감이 있습니다,ENT
케겔운동 궁금한것,REHM
등 통증 관련문의,NS
걷기? 좋은 다이어트방법 좀 알려주세요,REHM
급체 후 증상,GI
추가질문(체중증가),ENDO
이런 자세로 자면 안좋나요??,REHM
공수병 주사후... 음주...,INFC
항생제 부작용인가요?,INFC
질문드려요 아랫배에 날카로운 복통이왔는데요.,GI
김 많이 먹고난 뒤 대변 상태가 이상해요.,GI
오른쪽 엄지손가락 손톱 옆이 아파요,OS
자꾸 항문에서 대변시 찢어지면서 피가 나와요,GS
추가 질문 다이어트가 운동 아닌가요?,REHM
정신건강의학(조현병,PSY
꼬리뼈쪽 허리통증 아랫배통증 허벅지 위 저림 무슨증상일까요??ㅠ,NS
아버지가 키가 줄어드셨는데 정상인가요?,REHM
안티스탁스 복용법 질문이요,CS
피검사로 대장암을 알수 있나요?,GI
안녕하세요 꼭 허리가 디스크처럼 아파오는데 상관관계가 있을까요? ,NS
일반적으로 등산과 조깅중 어떤게 건강에 더 도움되나요?,REHM
질염 약을 복용중인데 생리통 약을 먹어도 될까요?,OBGY
대변검사하면 무조건 대장암 알수있나요?,GI
변비가 심하면 배에서 덩어리같은게 잡히기도하나요?,GI
커피 유방혹,OBGY
녹농균이 있을 수 있나요??,INFC
편도염 질문좀 드리겠습니다,ENT
치과치료와 독감예방접종,DENT
녹농균이 있을까요??,INFC
전날과음했는데 오늘 시티 찍을라하는데 되나요??,GI
요즘 눈통증,OPH
턱관절 소리,KTM
편도염 완치 질문좀 드리겠습니다,ENT
내과질문해요급해요 흰색수정테이프 다량은 아니고 작은 알갱이 몇개 입에 들어간거같아요 ,GI
내과질문급해요 흰색수정테이프 다량은 아니고 작은 알갱이 몇개 입에 들어간거같아요 ,GI
약 한달정도 열이38도 정도 지속되고있어요.,IP
너무 심하게 저질체력이다보니 도구는 커녕 맨몸운동조차 제대로 할 수 있는게 없네요,REHM
레이노이드 증후군이라는 답변을 받아서 여쭙니다... 손톱 하얀반달 위가 보라색? 검붉은색? 입니다2,RHEU
손톱 하얀반달 위가 보라색? 검붉은색? 입니다,RHEU
케이캡정 밥먹기 5분전에 먹어도 되나요?,GI
가래 많은 것 문의,IP
저번 질문에서 인슐린을 쓰더라도 말단비대증은 나타나지 않는다고 하셨었는데  장기비대또한 일어나지 않는다는 말이신지 ,ENDO
후두 및 인두근육 문제 질문드립니다,ENT
당뇨아닌데 혈당이 식후두시간 148나왔어요,ENDO
베타미가 하루날디 약을 복용하고 있습니다. 수면 위내시경,GI
흡연 숨쉬기 힘든 증상과 숨이 모자란 느낌,IP
