nouns,label
이어폰 음량 귀,6
독감 예방주사,2
목 음식물 계속 물감,6
케겔 운동,10
등 통증 문의,11
걷기 다이어트 방법,10
급체 증상,3
추가 체중 증가,19
자세,10
공수병 사후 음주,16
항생제 부작용,16
배 복통,3
김 대변 상태,3
오른쪽 엄지손가락 손톱 옆,17
항문 대변 피,1
추가 다이어트 운동,10
정신건강 의학 조현병,7
꼬리뼈 허리 통증 배 통증 허벅지 위 저림 증상,11
아버지 키 정상,10
티스 탁스 복 용법,15
피 검사 대장암,3
꼭 허리 디스크 상관관계,11
등산 조깅 건강 더 도움,10
질염 약 복용 생리통 약,22
대변 검사 대장암,3
변비 배 덩어리 기도,3
커피 유방 혹,22
녹농균 수,16
편도염 좀,6
치과 치료 독감 예방접종,13
녹농균,16
과음 시티,3
눈 통증,4
턱관절 소리,21
편도염 완치 좀,6
내과 해 흰색 수정 테이프 다량 알갱이 입,3
내과 흰색 수정 테이프 다량 알갱이 입,3
약 정도 열 정도,2
질 체력 도구 커녕 맨몸 운동 제대로 수,10
레이노 이드 증후군 손톱 하얀반달 위 보라색 검 은색,9
손톱 하얀반달 위 보라색 검 은색,9
케이 캡정 밥,3
가래 문의,2
질문 인슐린 말단비대증 장기 비대 또한 말 신지,19
후두 인두 근육 질문,6
당뇨 혈당 식 후두 시간,19
베타 미가 하루 약 복용 수면 위 내시경,3
흡연 숨쉬기 증상 숨,2
보스 웰 리아 무릎관절 도음 도움,17
형 당뇨병 수면 관계,19
거품 뇨 허리,23
자궁경부암 예방주사 남자,22
배 통증,3
코,6
소화,3
설사 대장 내시경,3
잠 뒤 몸 오한 발열,6
코 뒤쪽,6
독감 예방접종,2
혈당,19
레졸로정 달 유지 게,3
아보카도 캡슐 복용,21
펜터민 장기 복용,12
아보카도 캡슐 복용 고안 압,4
당화혈색소 검사,19
시야 짐,4
변비,3
가래 무,2
역류성 식도염 운동,3
등 오른쪽 아래 불편,10
미열,16
청국장 방귀 가스,3
편도염 완치,6
컴퓨터 열,16
두통약 두통,5
후두 염,6
편도 삼 액 걱정 요,6
변 복통,3
어깨 목 통증,21
출산 개월 복통,3
편도 삼 액,22
형 간염 예방접종 질문,3
건강검진 신장 질환 단백뇨,25
한쪽 코 안이 피 딱지 생기 기도,6
역류성 후두 염 바이러스 후두 염 건가,6
설사 변비 반복 소화 증상,3
담배 기침,2
미열,16
양제,21
구토,3
주방 세제,3
발목 발바닥,17
기능 소화 불량 증,3
만성 형 간염 간경변증 완치,3
답변 코 콧물,6
건강 체력 식후 식전 분뒤 운동,10
증상 요 배꼽 오른쪽 증상 간의 김증,3
목안 물질 진료 과로 가야,6
비밀 차단 효과 마스크,6
편도 위,6
오른쪽 배,3
운동 빈혈 마다,8
건강 체력 유 산소 운동 산소 운동 중 먼저,10
건강 체력 분 운동 효과 여,10
약 목구멍 입구,6
편도 위 혹,6
더러 세균 핸드폰 걱정,16
오른쪽 갈비 등쪽 통증,12
우상 복부 통증 복부팽,3
거북목 수가,11
혓바늘,6
혓바늘,6
혀 오른쪽 부분 목 목구멍 갑자기,6
심장병 수도,20
세균 핸드폰 걱정,16
설사약 스멕타 복 용법,3
진통제 등 상담,12
공황장애 스트레스 배,3
형 간염 예방주사 항체 언제,3
걸 오른쪽 배 통증,3
공황장애 원래 스트레스 배,3
아르기닌 복용 제품 비교 부탁,21
타이레놀 복용,2
약 복용 상담 타이레놀 알 알 복용,2
타이레놀,6
타이레놀 알 방정 알,6
타이레놀 알 알 복용,2
당뇨 환자,19
트림 속,3
위염 어지러움,3
변비 설사 반복 증상 소화 증산,3
자궁경부암 검사 결과,22
형 간염 검사 해석,3
가슴 중앙 통증,20
역류성 후두 염 바이러스 후두 염 차이,6
수제 요거트,21
차단 및 기능 소화 불량 약제 문의,3
눈,5
트림 이유,3
밤 눈 눈,4
아침 바로 텅빈,3
변비 물관,3
배 임신 건가,22
혈액 검사,8
비 간염 환자 건강 식품 섭취,3
포부 틴정 식후 복용 해도,3
식도염 천식 천식 증상,2
장 위장 것,3
여자친구 관계 배앓이 입원 간 물이 촬영 결과,3
차도 부비동염,6
손발 저리 입 등 증상,21
당화혈색소 변화,19
마 밀 하루 알,3
당화혈색소 변화,19
독감 예방접종 부위,16
항생제 자기,16
대장암 초기,3
비 간염 보균자 건강 식품 문의,3
웰콘정 처방전 살 수 변비 약,3
항 암치료 중 발열,16
형 당뇨 형 당뇨,19
골 밀도 검사 사진 개 첨부,19
급성 신부전 수치 여기 선생님,25
피로 스트레스 건강 악화 건강악화,21
자궁 종 검사,22
비타민 효능 사실,21
골 밀도,19
왼쪽 배 불편,3
감기 감기 기운,2
소변 검사 비타민,23
종합 비타민 셀 복용 장기 복용,21
클로자핀 당뇨,19
자궁경부암 검사,22
자궁경부암 검사,22
장염 걸 자궁 종도,22
일전 부비동염 상담 적 코 목,6
추가 스트레스 단순 몸살,2
자궁 경부 검사,22
당뇨 검사 인슐린 검사,19
거대 세포 바이러스,24
트림 우측 쇄골 통증,3
당뇨 검사 인슐린 검사,19
위암,3
인슐린 검사,19
장염,3
배꼽 위 명치 통증,3
장염,3
똥 설사,3
약물 알러지 대처 방법,24
도파민 관여 물질,7
영양 섭취 부족,21
증 환자 두통 심해,25
혈압 대학병원 외래 대학병원 외래 종합병원,20
추가 가스 때,3
증상 복합 미열,2
과식,3
장염 달동 지속 기도,3
혈압 약 복용 커피 섭취,20
수치 고혈압 수치 고혈압증 상이,20
고혈압 떄 다뇨 노랜삭 소변 증상,25
히스 재,3
현재 복용 약 타이레놀,2
부비동염,6
당화혈색소,19
자율신경 실 조증 증상,7
저혈압 일,20
머리 띵,5
웰콘정,3
머리,5
한미 오메가 연질 캡슐,19
액 효능,3
옆구리 평소 변비,3
한미 오메가 연질 캡슐,19
비수 대장 내시경,3
위 대장 내시경 흡인 폐렴,2
코로 날 파리 흡입,6
수면 내시경 면 보호자,3
코 성형 부비동염,14
목 물감 역 냄새,6
장염,3
누우 숨 어디 가야,2
역류성 식도염,3
병 굳이 병원 개월 설사,3
위 대장 내시경 복용 약,3
고혈압 환자 장뇌삼 여,21
위 대장 내시경,3
살 녹내장,4
원장 의사 고의 신경치료 도중 상악동 물질 삽입,6
이비인후과 축농증 부비동염 촬영,6
위 대장 내시경 방금 위 대장 내시경 사람,3
미주신경 실신 구토 감,5
역류성 식도염 가슴 통증,3
항히스타민제 항 우울 양제 복용,7
역류성 식도염 질문,3
스피루리나,21
다이어트 케톤 체 양성,19
편도 암 편도 종괴,6
가스 소화,3
발가락 수술 마음 안정,17
전 날 오싹 증상 병원,7
가스 틴 정,3
부비동염 저녁 진통제 못,6
캡슐 효능,3
웰콘정 바로 누우,3
독감 예방주사 피하 주사,2
쯤 혈변 론 변 자체 빨간색,3
과민성 대장 지방 변,3
폐렴 예방접종,2
야생고양이 병원,16
내시경 검사 후두 염,6
후두 염 증상 위 내시경 검사 곳 검사,6
혈압 변경 얼마나,20
후두 염 위 내시경 검사 검사,6
바나나 배,24
알러지 점안액,4
기립 저혈압 빈혈,20
몸살,2
매독,16
변일 지방 변일,3
양제,21
복약 상담 남편 혈압 약 텔미 누보 고지혈증 약 레토 복용,20
침 피,2
변비 약 중단,3
쇄골 아래 오른쪽 통증,12
결명자 권 장량,21
턱걸이 자투리 시간 효과,10
변비 식품,3
증상 보시 병명 단순 위 무력 증,3
베 카 입문,21
예전 영상 의학과 이빨 가요,13
성인 독감 감기,2
복통 설사,3
밥 최소 시간 누,3
두통 등,5
상의 게실 내시경,3
치과 실수 고의 잇몸 이빨 사이 물질 엑스레이,6
볼일 아예,3
식후 부글 똥마려운,3
목 물감 질감 질문,6
영상 의학과 이빨 가요,6
혈압,20
산책 중 숨 심장 방망이 산책 쭉 잠시 벤치,20
감사 싱귤레어 뮤코 제의 작용 원리 요,2
싱귤레 어정 장기 복용 간부 작용 사례,2
머리,20
호산구 수치 기생충 감염 안해,16
안쪽 어금니 치통,6
단순 위 무력 증,3
비수 대장 내시경 사제,3
부비동염 엑스레이 이비인후과 검사 치아 엑스레이,6
초기 감기 증상 약 음식,6
변 검사,3
